0 0 0   25 0.375 25   0.46 0.36 0.16
0 0.375 0   24.5 0.375 24.5   0.47 0.37 0.17
0 0.75 0   24 0.375 24   0.48 0.38 0.18
0 1.125 0   23.5 0.375 23.5   0.49 0.39 0.19
0 1.5 0   23 0.375 23   0.50 0.40 0.20
0 1.875 0   22.5 0.375 22.5   0.51 0.41 0.21
0 2.25 0   22 0.375 22   0.52 0.42 0.22
0 2.625 0   21.5 0.375 21.5   0.53 0.43 0.23
0 3 0   21 0.375 21   0.54 0.44 0.24
0 3.375 0   20.5 0.375 20.5   0.55 0.45 0.25
0 3.75 0   20 0.375 20   0.56 0.46 0.26
0 4.125 0   19.5 0.375 19.5   0.57 0.47 0.27
0 4.5 0   19 0.375 19   0.58 0.48 0.28
0 4.875 0   18.5 0.375 18.5   0.59 0.49 0.29
0 5.25 0   18 0.375 18   0.60 0.50 0.30
0 5.625 0   17.5 0.375 17.5   0.61 0.51 0.31
0 6 0   17 0.375 17   0.62 0.52 0.32
0 6.375 0   16.5 0.375 16.5   0.63 0.53 0.33
0 6.75 0   16 0.375 16   0.64 0.54 0.34
0 7.125 0   15.5 0.375 15.5   0.65 0.55 0.35
0 7.5 0   15 0.375 15   0.66 0.56 0.36
0 7.875 0   14.5 0.375 14.5   0.67 0.57 0.37
0 8.25 0   14 0.375 14   0.68 0.58 0.38
0 8.625 0   13.5 0.375 13.5   0.69 0.59 0.39
0 9 0   13 0.375 13   0.70 0.60 0.40
0 9.375 0   12.5 0.375 12.5   0.71 0.61 0.41
0 9.75 0   12 0.375 12   0.72 0.62 0.42
0 10.125 0   11.5 0.375 11.5   0.73 0.63 0.43
0 10.5 0   11 0.375 11   0.74 0.64 0.44
0 10.875 0   10.5 0.375 10.5   0.75 0.65 0.45
0 11.25 0   10 0.375 10   0.76 0.66 0.46
0 11.625 0   9.5 0.375 9.5   0.77 0.67 0.47
0 12 0   9 0.375 9   0.78 0.68 0.48
0 12.375 0   8.5 0.375 8.5   0.79 0.69 0.49
0 12.75 0   8 0.375 8   0.80 0.70 0.50
0 13.125 0   7.5 0.375 7.5   0.81 0.71 0.51
0 13.5 0   7 0.375 7   0.82 0.72 0.52
0 13.875 0   6.5 0.375 6.5   0.83 0.73 0.53
0 14.25 0   6 0.375 6   0.84 0.74 0.54
0 14.625 0   5.5 0.375 5.5   0.85 0.75 0.55
0 15 0   5 0.375 5   0.86 0.76 0.56
0 15.375 0   4.5 0.375 4.5   0.87 0.77 0.57
0 15.75 0   4 0.375 4   0.88 0.78 0.58
0 16.125 0   3.5 0.375 3.5   0.89 0.79 0.59
0 16.5 0   3 0.375 3   0.90 0.80 0.60
0 16.875 0   2.5 0.375 2.5   0.91 0.81 0.61
0 17.25 0   2 0.375 2   0.92 0.82 0.62
0 17.625 0   1.5 0.375 1.5   0.93 0.83 0.63
0 18 0   1 0.375 1   0.94 0.84 0.64
0 18.375 0   0.5 0.375 0.5   0.95 0.85 0.65
